z,a,t_Gyr,H_norm,Lambda_norm,w,OmL_eff
4.9970,0.166749,1.1532,8.066110,0.612732,-1.123953,0.006600
4.9893,0.166965,1.1555,8.050607,0.613026,-1.124120,0.006629
4.9816,0.167180,1.1577,8.035164,0.613321,-1.124288,0.006657
4.9739,0.167395,1.1600,8.019780,0.613616,-1.124454,0.006686
4.9662,0.167610,1.1622,8.004456,0.613910,-1.124621,0.006715
4.9586,0.167825,1.1644,7.989191,0.614205,-1.124788,0.006744
4.9510,0.168040,1.1667,7.973984,0.614499,-1.124954,0.006773
4.9434,0.168255,1.1689,7.958836,0.614794,-1.125120,0.006802
4.9358,0.168469,1.1711,7.943745,0.615088,-1.125285,0.006831
4.9283,0.168684,1.1734,7.928713,0.615383,-1.125451,0.006860
4.9207,0.168898,1.1756,7.913737,0.615677,-1.125616,0.006890
4.9132,0.169112,1.1778,7.898819,0.615972,-1.125781,0.006919
4.9058,0.169326,1.1801,7.883957,0.616266,-1.125945,0.006948
4.8983,0.169540,1.1823,7.869151,0.616560,-1.126110,0.006978
4.8909,0.169754,1.1845,7.854402,0.616855,-1.126274,0.007008
4.8835,0.169967,1.1868,7.839708,0.617149,-1.126438,0.007037
4.8761,0.170181,1.1890,7.825070,0.617443,-1.126601,0.007067
4.8688,0.170394,1.1912,7.810487,0.617738,-1.126765,0.007097
4.8614,0.170607,1.1935,7.795958,0.618032,-1.126928,0.007127
4.8541,0.170820,1.1957,7.781484,0.618326,-1.127091,0.007157
4.8468,0.171033,1.1979,7.767065,0.618620,-1.127253,0.007187
4.8396,0.171246,1.2002,7.752699,0.618914,-1.127416,0.007217
4.8323,0.171459,1.2024,7.738386,0.619208,-1.127578,0.007247
4.8251,0.171671,1.2046,7.724127,0.619502,-1.127740,0.007277
4.8179,0.171884,1.2069,7.709921,0.619796,-1.127901,0.007307
4.8107,0.172096,1.2091,7.695767,0.620090,-1.128063,0.007338
4.8036,0.172308,1.2114,7.681666,0.620384,-1.128224,0.007368
4.7964,0.172520,1.2136,7.667617,0.620678,-1.128385,0.007399
4.7893,0.172732,1.2158,7.653620,0.620972,-1.128546,0.007429
4.7822,0.172944,1.2181,7.639675,0.621266,-1.128706,0.007460
4.7752,0.173156,1.2203,7.625780,0.621560,-1.128866,0.007491
4.7681,0.173367,1.2225,7.611937,0.621854,-1.129026,0.007522
4.7611,0.173579,1.2248,7.598144,0.622147,-1.129186,0.007552
4.7541,0.173790,1.2270,7.584401,0.622441,-1.129345,0.007583
4.7471,0.174001,1.2292,7.570709,0.622735,-1.129504,0.007614
4.7401,0.174212,1.2315,7.557067,0.623029,-1.129663,0.007646
4.7332,0.174423,1.2337,7.543474,0.623322,-1.129822,0.007677
4.7263,0.174634,1.2359,7.529931,0.623616,-1.129980,0.007708
4.7194,0.174844,1.2382,7.516436,0.623910,-1.130138,0.007739
4.7125,0.175055,1.2404,7.502990,0.624203,-1.130296,0.007771
4.7056,0.175265,1.2426,7.489593,0.624497,-1.130454,0.007802
4.6988,0.175476,1.2449,7.476244,0.624790,-1.130611,0.007834
4.6920,0.175686,1.2471,7.462944,0.625084,-1.130768,0.007866
4.6852,0.175896,1.2493,7.449690,0.625377,-1.130925,0.007897
4.6784,0.176106,1.2516,7.436485,0.625670,-1.131082,0.007929
4.6716,0.176316,1.2538,7.423326,0.625964,-1.131238,0.007961
4.6649,0.176525,1.2561,7.410215,0.626257,-1.131394,0.007993
4.6582,0.176735,1.2583,7.397150,0.626550,-1.131550,0.008025
4.6515,0.176944,1.2605,7.384132,0.626844,-1.131706,0.008057
4.6448,0.177154,1.2628,7.371160,0.627137,-1.131861,0.008089
4.6382,0.177363,1.2650,7.358234,0.627430,-1.132016,0.008121
4.6315,0.177572,1.2672,7.345354,0.627723,-1.132171,0.008154
4.6249,0.177781,1.2695,7.332520,0.628016,-1.132326,0.008186
4.6183,0.177990,1.2717,7.319730,0.628309,-1.132480,0.008219
4.6117,0.178198,1.2739,7.306986,0.628602,-1.132635,0.008251
4.6052,0.178407,1.2762,7.294286,0.628896,-1.132788,0.008284
4.5986,0.178615,1.2784,7.281631,0.629189,-1.132942,0.008316
4.5921,0.178824,1.2806,7.269021,0.629481,-1.133096,0.008349
4.5856,0.179032,1.2829,7.256454,0.629774,-1.133249,0.008382
4.5791,0.179240,1.2851,7.243931,0.630067,-1.133402,0.008415
4.5726,0.179448,1.2873,7.231452,0.630360,-1.133554,0.008448
4.5662,0.179656,1.2896,7.219017,0.630653,-1.133707,0.008481
4.5598,0.179864,1.2918,7.206624,0.630946,-1.133859,0.008514
4.5534,0.180071,1.2940,7.194275,0.631239,-1.134011,0.008547
4.5470,0.180279,1.2963,7.181968,0.631531,-1.134163,0.008581
4.5406,0.180486,1.2985,7.169704,0.631824,-1.134314,0.008614
4.5342,0.180694,1.3008,7.157482,0.632117,-1.134466,0.008647
4.5279,0.180901,1.3030,7.145302,0.632409,-1.134617,0.008681
4.5216,0.181108,1.3052,7.133164,0.632702,-1.134767,0.008715
4.5153,0.181315,1.3075,7.121068,0.632994,-1.134918,0.008748
4.5090,0.181522,1.3097,7.109013,0.633287,-1.135068,0.008782
4.5027,0.181729,1.3119,7.096999,0.633579,-1.135218,0.008816
4.4965,0.181935,1.3142,7.085027,0.633872,-1.135368,0.008850
4.4902,0.182142,1.3164,7.073095,0.634164,-1.135517,0.008884
4.4840,0.182348,1.3186,7.061204,0.634457,-1.135667,0.008918
4.4778,0.182554,1.3209,7.049353,0.634749,-1.135816,0.008952
4.4716,0.182760,1.3231,7.037543,0.635041,-1.135965,0.008986
4.4655,0.182967,1.3253,7.025772,0.635333,-1.136113,0.009020
4.4593,0.183172,1.3276,7.014041,0.635626,-1.136261,0.009055
4.4532,0.183378,1.3298,7.002350,0.635918,-1.136409,0.009089
4.4471,0.183584,1.3320,6.990698,0.636210,-1.136557,0.009124
4.4410,0.183790,1.3343,6.979086,0.636502,-1.136705,0.009158
4.4349,0.183995,1.3365,6.967512,0.636794,-1.136852,0.009193
4.4289,0.184201,1.3387,6.955977,0.637086,-1.136999,0.009228
4.4228,0.184406,1.3410,6.944481,0.637378,-1.137146,0.009263
4.4168,0.184611,1.3432,6.933023,0.637670,-1.137293,0.009297
4.4108,0.184816,1.3455,6.921604,0.637962,-1.137439,0.009332
4.4048,0.185021,1.3477,6.910222,0.638254,-1.137585,0.009367
4.3988,0.185226,1.3499,6.898879,0.638546,-1.137731,0.009403
4.3929,0.185430,1.3522,6.887573,0.638838,-1.137877,0.009438
4.3869,0.185635,1.3544,6.876304,0.639130,-1.138022,0.009473
4.3810,0.185840,1.3566,6.865073,0.639421,-1.138167,0.009508
4.3751,0.186044,1.3589,6.853879,0.639713,-1.138312,0.009544
4.3692,0.186248,1.3611,6.842722,0.640005,-1.138457,0.009579
4.3633,0.186452,1.3633,6.831601,0.640296,-1.138602,0.009615
4.3574,0.186656,1.3656,6.820518,0.640588,-1.138746,0.009651
4.3516,0.186860,1.3678,6.809470,0.640879,-1.138890,0.009686
4.3458,0.187064,1.3700,6.798459,0.641171,-1.139033,0.009722
4.3399,0.187268,1.3723,6.787483,0.641462,-1.139177,0.009758
4.3341,0.187472,1.3745,6.776544,0.641754,-1.139320,0.009794
4.3284,0.187675,1.3767,6.765640,0.642045,-1.139463,0.009830
4.3226,0.187879,1.3790,6.754772,0.642337,-1.139606,0.009866
4.3168,0.188082,1.3812,6.743939,0.642628,-1.139749,0.009902
4.3111,0.188285,1.3834,6.733142,0.642919,-1.139891,0.009939
4.3054,0.188488,1.3857,6.722379,0.643211,-1.140033,0.009975
4.2997,0.188691,1.3879,6.711651,0.643502,-1.140175,0.010012
4.2940,0.188894,1.3902,6.700958,0.643793,-1.140316,0.010048
4.2883,0.189097,1.3924,6.690299,0.644084,-1.140458,0.010085
4.2826,0.189300,1.3946,6.679674,0.644375,-1.140599,0.010121
4.2770,0.189502,1.3969,6.669084,0.644666,-1.140740,0.010158
4.2714,0.189705,1.3991,6.658528,0.644957,-1.140880,0.010195
4.2657,0.189907,1.4013,6.648005,0.645248,-1.141021,0.010232
4.2601,0.190109,1.4036,6.637517,0.645539,-1.141161,0.010269
4.2545,0.190311,1.4058,6.627061,0.645830,-1.141301,0.010306
4.2490,0.190513,1.4080,6.616640,0.646121,-1.141440,0.010343
4.2434,0.190715,1.4103,6.606251,0.646412,-1.141580,0.010380
4.2379,0.190917,1.4125,6.595895,0.646703,-1.141719,0.010418
4.2323,0.191119,1.4147,6.585572,0.646993,-1.141858,0.010455
4.2268,0.191321,1.4170,6.575282,0.647284,-1.141997,0.010492
4.2213,0.191522,1.4192,6.565025,0.647575,-1.142135,0.010530
4.2158,0.191724,1.4214,6.554800,0.647865,-1.142274,0.010568
4.2104,0.191925,1.4237,6.544607,0.648156,-1.142412,0.010605
4.2049,0.192126,1.4259,6.534446,0.648446,-1.142549,0.010643
4.1995,0.192327,1.4281,6.524318,0.648737,-1.142687,0.010681
4.1940,0.192528,1.4304,6.514221,0.649027,-1.142824,0.010719
4.1886,0.192729,1.4326,6.504155,0.649318,-1.142961,0.010757
4.1832,0.192930,1.4349,6.494122,0.649608,-1.143098,0.010795
4.1778,0.193131,1.4371,6.484119,0.649898,-1.143235,0.010833
4.1725,0.193331,1.4393,6.474148,0.650189,-1.143371,0.010871
4.1671,0.193532,1.4416,6.464208,0.650479,-1.143507,0.010910
4.1618,0.193732,1.4438,6.454299,0.650769,-1.143643,0.010948
4.1564,0.193933,1.4460,6.444421,0.651059,-1.143779,0.010987
4.1511,0.194133,1.4483,6.434573,0.651349,-1.143914,0.011025
4.1458,0.194333,1.4505,6.424756,0.651640,-1.144049,0.011064
4.1405,0.194533,1.4527,6.414969,0.651930,-1.144184,0.011103
4.1352,0.194733,1.4550,6.405213,0.652220,-1.144319,0.011141
4.1300,0.194933,1.4572,6.395486,0.652510,-1.144454,0.011180
4.1247,0.195133,1.4594,6.385790,0.652799,-1.144588,0.011219
4.1195,0.195332,1.4617,6.376123,0.653089,-1.144722,0.011258
4.1143,0.195532,1.4639,6.366486,0.653379,-1.144856,0.011297
4.1090,0.195731,1.4661,6.356878,0.653669,-1.144989,0.011337
4.1038,0.195931,1.4684,6.347300,0.653959,-1.145123,0.011376
4.0987,0.196130,1.4706,6.337751,0.654248,-1.145256,0.011415
4.0935,0.196329,1.4728,6.328232,0.654538,-1.145389,0.011455
4.0883,0.196528,1.4751,6.318741,0.654828,-1.145521,0.011494
4.0832,0.196727,1.4773,6.309279,0.655117,-1.145654,0.011534
4.0781,0.196926,1.4796,6.299846,0.655407,-1.145786,0.011573
4.0729,0.197125,1.4818,6.290442,0.655696,-1.145918,0.011613
4.0678,0.197323,1.4840,6.281066,0.655986,-1.146049,0.011653
4.0627,0.197522,1.4863,6.271718,0.656275,-1.146181,0.011693
4.0577,0.197720,1.4885,6.262399,0.656564,-1.146312,0.011733
4.0526,0.197919,1.4907,6.253108,0.656854,-1.146443,0.011773
4.0475,0.198117,1.4930,6.243845,0.657143,-1.146574,0.011813
4.0425,0.198315,1.4952,6.234609,0.657432,-1.146704,0.011853
4.0375,0.198513,1.4974,6.225402,0.657722,-1.146835,0.011894
4.0324,0.198711,1.4997,6.216222,0.658011,-1.146965,0.011934
4.0274,0.198909,1.5019,6.207069,0.658300,-1.147095,0.011975
4.0224,0.199107,1.5041,6.197944,0.658589,-1.147224,0.012015
4.0174,0.199305,1.5064,6.188846,0.658878,-1.147354,0.012056
4.0125,0.199502,1.5086,6.179775,0.659167,-1.147483,0.012097
4.0075,0.199700,1.5108,6.170731,0.659456,-1.147612,0.012137
4.0026,0.199897,1.5131,6.161714,0.659745,-1.147740,0.012178
3.9976,0.200094,1.5153,6.152724,0.660033,-1.147869,0.012219
3.9927,0.200292,1.5175,6.143760,0.660322,-1.147997,0.012260
3.9878,0.200489,1.5198,6.134823,0.660611,-1.148125,0.012301
3.9829,0.200686,1.5220,6.125913,0.660900,-1.148253,0.012343
3.9780,0.200883,1.5243,6.117028,0.661188,-1.148380,0.012384
3.9732,0.201080,1.5265,6.108170,0.661477,-1.148508,0.012425
3.9683,0.201276,1.5287,6.099338,0.661765,-1.148635,0.012467
3.9634,0.201473,1.5310,6.090532,0.662054,-1.148762,0.012508
3.9586,0.201670,1.5332,6.081752,0.662342,-1.148888,0.012550
3.9538,0.201866,1.5354,6.072997,0.662631,-1.149015,0.012591
3.9490,0.202063,1.5377,6.064268,0.662919,-1.149141,0.012633
3.9442,0.202259,1.5399,6.055565,0.663208,-1.149267,0.012675
3.9394,0.202455,1.5421,6.046886,0.663496,-1.149392,0.012717
3.9346,0.202651,1.5444,6.038234,0.663784,-1.149518,0.012759
3.9298,0.202847,1.5466,6.029606,0.664072,-1.149643,0.012801
3.9251,0.203043,1.5488,6.021003,0.664360,-1.149768,0.012843
3.9203,0.203239,1.5511,6.012426,0.664649,-1.149893,0.012886
3.9156,0.203435,1.5533,6.003873,0.664937,-1.150017,0.012928
3.9109,0.203631,1.5555,5.995345,0.665225,-1.150142,0.012970
3.9061,0.203826,1.5578,5.986842,0.665513,-1.150266,0.013013
3.9014,0.204022,1.5600,5.978363,0.665801,-1.150390,0.013055
3.8967,0.204217,1.5622,5.969908,0.666088,-1.150513,0.013098
3.8921,0.204412,1.5645,5.961478,0.666376,-1.150637,0.013141
3.8874,0.204608,1.5667,5.953072,0.666664,-1.150760,0.013184
3.8827,0.204803,1.5689,5.944690,0.666952,-1.150883,0.013227
3.8781,0.204998,1.5712,5.936332,0.667239,-1.151006,0.013270
3.8735,0.205193,1.5734,5.927999,0.667527,-1.151128,0.013313
3.8688,0.205388,1.5757,5.919688,0.667815,-1.151251,0.013356
3.8642,0.205583,1.5779,5.911402,0.668102,-1.151373,0.013399
3.8596,0.205777,1.5801,5.903139,0.668390,-1.151494,0.013442
3.8550,0.205972,1.5824,5.894900,0.668677,-1.151616,0.013486
3.8505,0.206166,1.5846,5.886684,0.668965,-1.151737,0.013529
3.8459,0.206361,1.5868,5.878491,0.669252,-1.151859,0.013573
3.8413,0.206555,1.5891,5.870322,0.669539,-1.151979,0.013616
3.8368,0.206749,1.5913,5.862176,0.669826,-1.152100,0.013660
3.8322,0.206944,1.5935,5.854052,0.670114,-1.152221,0.013704
3.8277,0.207138,1.5958,5.845952,0.670401,-1.152341,0.013748
3.8232,0.207332,1.5980,5.837874,0.670688,-1.152461,0.013792
3.8187,0.207526,1.6002,5.829820,0.670975,-1.152581,0.013836
3.8142,0.207719,1.6025,5.821787,0.671262,-1.152700,0.013880
3.8097,0.207913,1.6047,5.813778,0.671549,-1.152820,0.013924
3.8052,0.208107,1.6069,5.805791,0.671836,-1.152939,0.013969
3.8008,0.208300,1.6092,5.797826,0.672123,-1.153058,0.014013
3.7963,0.208494,1.6114,5.789883,0.672410,-1.153176,0.014057
3.7919,0.208687,1.6136,5.781963,0.672696,-1.153295,0.014102
3.7874,0.208881,1.6159,5.774064,0.672983,-1.153413,0.014147
3.7830,0.209074,1.6181,5.766188,0.673270,-1.153531,0.014191
3.7786,0.209267,1.6204,5.758333,0.673556,-1.153649,0.014236
3.7742,0.209460,1.6226,5.750501,0.673843,-1.153767,0.014281
3.7698,0.209653,1.6248,5.742690,0.674130,-1.153884,0.014326
3.7654,0.209846,1.6271,5.734900,0.674416,-1.154001,0.014371
3.7610,0.210039,1.6293,5.727132,0.674702,-1.154118,0.014416
3.7567,0.210231,1.6315,5.719386,0.674989,-1.154235,0.014461
3.7523,0.210424,1.6338,5.711661,0.675275,-1.154351,0.014507
3.7480,0.210617,1.6360,5.703957,0.675561,-1.154467,0.014552
3.7436,0.210809,1.6382,5.696274,0.675848,-1.154583,0.014597
3.7393,0.211001,1.6405,5.688613,0.676134,-1.154699,0.014643
3.7350,0.211194,1.6427,5.680972,0.676420,-1.154815,0.014689
3.7307,0.211386,1.6449,5.673353,0.676706,-1.154930,0.014734
3.7264,0.211578,1.6472,5.665754,0.676992,-1.155045,0.014780
3.7221,0.211770,1.6494,5.658176,0.677278,-1.155160,0.014826
3.7178,0.211962,1.6516,5.650619,0.677564,-1.155275,0.014872
3.7136,0.212154,1.6539,5.643082,0.677850,-1.155389,0.014918
3.7093,0.212346,1.6561,5.635566,0.678136,-1.155503,0.014964
3.7050,0.212538,1.6583,5.628070,0.678421,-1.155617,0.015010
3.7008,0.212729,1.6606,5.620594,0.678707,-1.155731,0.015057
3.6966,0.212921,1.6628,5.613139,0.678993,-1.155845,0.015103
3.6924,0.213112,1.6651,5.605704,0.679279,-1.155958,0.015150
3.6882,0.213304,1.6673,5.598289,0.679564,-1.156071,0.015196
3.6840,0.213495,1.6695,5.590894,0.679850,-1.156184,0.015243
3.6798,0.213686,1.6718,5.583519,0.680135,-1.156297,0.015289
3.6756,0.213877,1.6740,5.576164,0.680421,-1.156409,0.015336
3.6714,0.214068,1.6762,5.568828,0.680706,-1.156521,0.015383
3.6672,0.214259,1.6785,5.561513,0.680991,-1.156633,0.015430
3.6631,0.214450,1.6807,5.554216,0.681276,-1.156745,0.015477
3.6589,0.214641,1.6829,5.546940,0.681562,-1.156857,0.015524
3.6548,0.214832,1.6852,5.539683,0.681847,-1.156968,0.015571
3.6507,0.215023,1.6874,5.532445,0.682132,-1.157079,0.015619
3.6466,0.215213,1.6896,5.525227,0.682417,-1.157190,0.015666
3.6424,0.215404,1.6919,5.518027,0.682702,-1.157301,0.015714
3.6383,0.215594,1.6941,5.510847,0.682987,-1.157411,0.015761
3.6343,0.215785,1.6963,5.503686,0.683272,-1.157522,0.015809
3.6302,0.215975,1.6986,5.496544,0.683557,-1.157632,0.015856
3.6261,0.216165,1.7008,5.489421,0.683841,-1.157741,0.015904
3.6220,0.216355,1.7030,5.482317,0.684126,-1.157851,0.015952
3.6180,0.216545,1.7053,5.475232,0.684411,-1.157960,0.016000
3.6139,0.216735,1.7075,5.468165,0.684696,-1.158070,0.016048
3.6099,0.216925,1.7098,5.461117,0.684980,-1.158179,0.016096
3.6059,0.217115,1.7120,5.454088,0.685265,-1.158287,0.016145
3.6018,0.217304,1.7142,5.447077,0.685549,-1.158396,0.016193
3.5978,0.217494,1.7165,5.440084,0.685834,-1.158504,0.016241
3.5938,0.217684,1.7187,5.433110,0.686118,-1.158612,0.016290
3.5898,0.217873,1.7209,5.426154,0.686402,-1.158720,0.016338
3.5858,0.218063,1.7232,5.419216,0.686687,-1.158828,0.016387
3.5819,0.218252,1.7254,5.412296,0.686971,-1.158935,0.016436
3.5779,0.218441,1.7276,5.405395,0.687255,-1.159042,0.016484
3.5739,0.218630,1.7299,5.398511,0.687539,-1.159149,0.016533
3.5700,0.218819,1.7321,5.391646,0.687823,-1.159256,0.016582
3.5660,0.219008,1.7343,5.384798,0.688107,-1.159363,0.016631
3.5621,0.219197,1.7366,5.377968,0.688391,-1.159469,0.016681
3.5582,0.219386,1.7388,5.371155,0.688675,-1.159575,0.016730
3.5543,0.219575,1.7410,5.364361,0.688959,-1.159681,0.016779
3.5503,0.219764,1.7433,5.357584,0.689242,-1.159787,0.016828
3.5464,0.219952,1.7455,5.350824,0.689526,-1.159892,0.016878
3.5425,0.220141,1.7477,5.344082,0.689810,-1.159998,0.016928
3.5387,0.220329,1.7500,5.337357,0.690094,-1.160103,0.016977
3.5348,0.220518,1.7522,5.330650,0.690377,-1.160207,0.017027
3.5309,0.220706,1.7545,5.323959,0.690661,-1.160312,0.017077
3.5270,0.220894,1.7567,5.317286,0.690944,-1.160416,0.017127
3.5232,0.221083,1.7589,5.310631,0.691227,-1.160521,0.017177
3.5193,0.221271,1.7612,5.303992,0.691511,-1.160625,0.017227
3.5155,0.221459,1.7634,5.297370,0.691794,-1.160728,0.017277
3.5117,0.221647,1.7656,5.290765,0.692077,-1.160832,0.017327
3.5079,0.221835,1.7679,5.284177,0.692360,-1.160935,0.017378
3.5040,0.222022,1.7701,5.277606,0.692644,-1.161038,0.017428
3.5002,0.222210,1.7723,5.271051,0.692927,-1.161141,0.017478
3.4964,0.222398,1.7746,5.264513,0.693210,-1.161244,0.017529
3.4927,0.222585,1.7768,5.257992,0.693493,-1.161346,0.017580
3.4889,0.222773,1.7790,5.251487,0.693776,-1.161449,0.017631
3.4851,0.222960,1.7813,5.244999,0.694058,-1.161551,0.017681
3.4813,0.223148,1.7835,5.238527,0.694341,-1.161653,0.017732
3.4776,0.223335,1.7857,5.232071,0.694624,-1.161754,0.017783
3.4738,0.223522,1.7880,5.225632,0.694907,-1.161856,0.017834
3.4701,0.223709,1.7902,5.219209,0.695189,-1.161957,0.017886
3.4664,0.223896,1.7924,5.212802,0.695472,-1.162058,0.017937
3.4626,0.224083,1.7947,5.206412,0.695754,-1.162158,0.017988
3.4589,0.224270,1.7969,5.200037,0.696037,-1.162259,0.018040
3.4552,0.224457,1.7992,5.193678,0.696319,-1.162359,0.018091
3.4515,0.224644,1.8014,5.187336,0.696601,-1.162459,0.018143
3.4478,0.224831,1.8036,5.181009,0.696884,-1.162559,0.018195
3.4441,0.225017,1.8059,5.174698,0.697166,-1.162659,0.018246
3.4404,0.225204,1.8081,5.168403,0.697448,-1.162759,0.018298
3.4367,0.225390,1.8103,5.162123,0.697730,-1.162858,0.018350
3.4331,0.225577,1.8126,5.155859,0.698012,-1.162957,0.018402
3.4294,0.225763,1.8148,5.149611,0.698294,-1.163056,0.018454
3.4258,0.225949,1.8170,5.143378,0.698576,-1.163154,0.018507
3.4221,0.226136,1.8193,5.137161,0.698858,-1.163253,0.018559
3.4185,0.226322,1.8215,5.130959,0.699140,-1.163351,0.018611
3.4149,0.226508,1.8237,5.124772,0.699422,-1.163449,0.018664
3.4112,0.226694,1.8260,5.118601,0.699703,-1.163547,0.018716
3.4076,0.226880,1.8282,5.112445,0.699985,-1.163644,0.018769
3.4040,0.227065,1.8304,5.106304,0.700267,-1.163742,0.018822
3.4004,0.227251,1.8327,5.100178,0.700548,-1.163839,0.018875
3.3968,0.227437,1.8349,5.094068,0.700830,-1.163936,0.018928
3.3932,0.227623,1.8371,5.087972,0.701111,-1.164033,0.018981
3.3897,0.227808,1.8394,5.081892,0.701392,-1.164129,0.019034
3.3861,0.227994,1.8416,5.075826,0.701674,-1.164226,0.019087
3.3825,0.228179,1.8439,5.069775,0.701955,-1.164322,0.019140
3.3790,0.228364,1.8461,5.063739,0.702236,-1.164418,0.019193
3.3754,0.228550,1.8483,5.057718,0.702517,-1.164513,0.019247
3.3719,0.228735,1.8506,5.051711,0.702798,-1.164609,0.019300
3.3683,0.228920,1.8528,5.045719,0.703079,-1.164704,0.019354
3.3648,0.229105,1.8550,5.039742,0.703360,-1.164799,0.019408
3.3613,0.229290,1.8573,5.033779,0.703641,-1.164894,0.019461
3.3578,0.229475,1.8595,5.027831,0.703922,-1.164989,0.019515
3.3543,0.229660,1.8617,5.021897,0.704203,-1.165083,0.019569
3.3508,0.229845,1.8640,5.015977,0.704483,-1.165177,0.019623
3.3473,0.230029,1.8662,5.010072,0.704764,-1.165271,0.019677
3.3438,0.230214,1.8684,5.004181,0.705045,-1.165365,0.019732
3.3403,0.230398,1.8707,4.998304,0.705325,-1.165459,0.019786
3.3368,0.230583,1.8729,4.992442,0.705606,-1.165552,0.019840
3.3334,0.230767,1.8751,4.986593,0.705886,-1.165645,0.019895
3.3299,0.230952,1.8774,4.980759,0.706166,-1.165738,0.019949
3.3265,0.231136,1.8796,4.974939,0.706447,-1.165831,0.020004
3.3230,0.231320,1.8818,4.969133,0.706727,-1.165924,0.020059
3.3196,0.231505,1.8841,4.963340,0.707007,-1.166016,0.020113
3.3161,0.231689,1.8863,4.957562,0.707287,-1.166108,0.020168
3.3127,0.231873,1.8886,4.951797,0.707567,-1.166200,0.020223
3.3093,0.232057,1.8908,4.946046,0.707847,-1.166292,0.020278
3.3059,0.232240,1.8930,4.940309,0.708127,-1.166383,0.020334
3.3025,0.232424,1.8953,4.934586,0.708407,-1.166475,0.020389
3.2991,0.232608,1.8975,4.928876,0.708687,-1.166566,0.020444
3.2957,0.232792,1.8997,4.923180,0.708967,-1.166657,0.020500
3.2923,0.232975,1.9020,4.917497,0.709246,-1.166747,0.020555
3.2889,0.233159,1.9042,4.911828,0.709526,-1.166838,0.020611
3.2855,0.233342,1.9064,4.906172,0.709806,-1.166928,0.020666
3.2822,0.233526,1.9087,4.900530,0.710085,-1.167018,0.020722
3.2788,0.233709,1.9109,4.894901,0.710365,-1.167108,0.020778
3.2755,0.233892,1.9131,4.889285,0.710644,-1.167198,0.020834
3.2721,0.234076,1.9154,4.883683,0.710923,-1.167287,0.020890
3.2688,0.234259,1.9176,4.878093,0.711202,-1.167377,0.020946
3.2654,0.234442,1.9198,4.872517,0.711482,-1.167466,0.021002
3.2621,0.234625,1.9221,4.866954,0.711761,-1.167555,0.021059
3.2588,0.234808,1.9243,4.861405,0.712040,-1.167643,0.021115
3.2555,0.234991,1.9265,4.855868,0.712319,-1.167732,0.021172
3.2522,0.235174,1.9288,4.850344,0.712598,-1.167820,0.021228
3.2489,0.235356,1.9310,4.844833,0.712877,-1.167908,0.021285
3.2456,0.235539,1.9333,4.839335,0.713156,-1.167996,0.021341
3.2423,0.235722,1.9355,4.833850,0.713434,-1.168083,0.021398
3.2390,0.235904,1.9377,4.828377,0.713713,-1.168171,0.021455
3.2357,0.236087,1.9400,4.822918,0.713992,-1.168258,0.021512
3.2325,0.236269,1.9422,4.817471,0.714270,-1.168345,0.021569
3.2292,0.236452,1.9444,4.812037,0.714549,-1.168432,0.021626
3.2259,0.236634,1.9467,4.806615,0.714827,-1.168518,0.021684
3.2227,0.236816,1.9489,4.801206,0.715106,-1.168605,0.021741
3.2194,0.236998,1.9511,4.795810,0.715384,-1.168691,0.021798
3.2162,0.237180,1.9534,4.790426,0.715662,-1.168777,0.021856
3.2130,0.237362,1.9556,4.785054,0.715941,-1.168863,0.021914
3.2097,0.237544,1.9578,4.779695,0.716219,-1.168948,0.021971
3.2065,0.237726,1.9601,4.774348,0.716497,-1.169034,0.022029
3.2033,0.237908,1.9623,4.769014,0.716775,-1.169119,0.022087
3.2001,0.238090,1.9645,4.763692,0.717053,-1.169204,0.022145
3.1969,0.238272,1.9668,4.758382,0.717331,-1.169289,0.022203
3.1937,0.238453,1.9690,4.753085,0.717608,-1.169373,0.022261
3.1905,0.238635,1.9712,4.747799,0.717886,-1.169458,0.022319
3.1873,0.238816,1.9735,4.742526,0.718164,-1.169542,0.022378
3.1841,0.238998,1.9757,4.737264,0.718442,-1.169626,0.022436
3.1810,0.239179,1.9779,4.732015,0.718719,-1.169710,0.022495
3.1778,0.239361,1.9802,4.726778,0.718997,-1.169793,0.022553
3.1746,0.239542,1.9824,4.721553,0.719274,-1.169876,0.022612
3.1715,0.239723,1.9847,4.716339,0.719551,-1.169960,0.022671
3.1683,0.239904,1.9869,4.711138,0.719829,-1.170043,0.022729
3.1652,0.240085,1.9891,4.705948,0.720106,-1.170125,0.022788
3.1620,0.240266,1.9914,4.700770,0.720383,-1.170208,0.022847
3.1589,0.240447,1.9936,4.695604,0.720660,-1.170290,0.022906
3.1558,0.240628,1.9958,4.690450,0.720937,-1.170372,0.022966
3.1527,0.240809,1.9981,4.685307,0.721214,-1.170454,0.023025
3.1496,0.240990,2.0003,4.680176,0.721491,-1.170536,0.023084
3.1464,0.241171,2.0025,4.675057,0.721768,-1.170618,0.023144
3.1433,0.241351,2.0048,4.669949,0.722045,-1.170699,0.023203
3.1402,0.241532,2.0070,4.664853,0.722322,-1.170780,0.023263
3.1371,0.241712,2.0092,4.659768,0.722598,-1.170861,0.023323
3.1341,0.241893,2.0115,4.654695,0.722875,-1.170942,0.023383
3.1310,0.242073,2.0137,4.649633,0.723152,-1.171022,0.023442
3.1279,0.242253,2.0159,4.644582,0.723428,-1.171103,0.023502
