# BH-FRW Full Evolution Sandbox v0.3
# log10(M/Msun)=22.5
# Om=0.3, Or=0.0001, H0=70
# log10(Ec2)=12, dTau=0.001, maxSteps=200000
# mode=QUANTUM, stopAtBounce=true
# OmegaL0=6.674188e-1, OmegaK=0.032481
# tau_today=0.954000 (where a=1)
# t_today_Gyr=13.326
# back_reason=bounce_boundary_reached, fwd_reason=a_stop_reached
# tau=0 at bounce; tau=tau_today at a=1 (today); tau increases into future
# ---
tau,a,E,E2_over_Ec2,mode
0.00000000e+0,2.41002797e-3,0.00000000e+0,1.00000000e+0,1
1.00000000e-3,8.78335364e-3,6.78199535e+2,4.59954821e-7,1
2.00000000e-3,1.38463408e-2,3.40441577e+2,1.15900481e-7,1
3.00000000e-3,1.81702562e-2,2.25885546e+2,5.10242827e-8,1
4.00000000e-3,2.20441041e-2,1.68809129e+2,2.84965228e-8,1
5.00000000e-3,2.56079428e-2,1.34712659e+2,1.81475008e-8,1
6.00000000e-3,2.89408892e-2,1.12063128e+2,1.25581448e-8,1
7.00000000e-3,3.20926972e-2,9.59304130e+1,9.20264423e-9,1
8.00000000e-3,3.50970890e-2,8.38577230e+1,7.03211776e-9,1
9.00000000e-3,3.79782034e-2,7.44845210e+1,5.54794389e-9,1
1.00000000e-2,4.07540494e-2,6.69967797e+1,4.48856851e-9,1
1.10000000e-2,4.34385043e-2,6.08777415e+1,3.70609943e-9,1
1.20000000e-2,4.60425431e-2,5.57836237e+1,3.11181269e-9,1
1.30000000e-2,4.85750327e-2,5.14768538e+1,2.64986648e-9,1
1.40000000e-2,5.10432650e-2,4.77880041e+1,2.28369334e-9,1
1.50000000e-2,5.34533276e-2,4.45929986e+1,1.98853553e-9,1
1.60000000e-2,5.58103691e-2,4.17988926e+1,1.74714742e-9,1
1.70000000e-2,5.81187926e-2,3.93346865e+1,1.54721756e-9,1
1.80000000e-2,6.03824008e-2,3.71452110e+1,1.37976670e-9,1
1.90000000e-2,6.26045066e-2,3.51869481e+1,1.23812132e-9,1
2.00000000e-2,6.47880182e-2,3.34251101e+1,1.11723799e-9,1
2.10000000e-2,6.69355063e-2,3.18315548e+1,1.01324788e-9,1
2.20000000e-2,6.90492572e-2,3.03832709e+1,9.23143150e-10,1
2.30000000e-2,7.11313161e-2,2.90612600e+1,8.44556833e-10,1
2.40000000e-2,7.31835213e-2,2.78496982e+1,7.75605688e-10,1
2.50000000e-2,7.52075332e-2,2.67352996e+1,7.14776243e-10,1
2.60000000e-2,7.72048579e-2,2.57068272e+1,6.60840964e-10,1
2.70000000e-2,7.91768668e-2,2.47547126e+1,6.12795795e-10,1
2.80000000e-2,8.11248131e-2,2.38707572e+1,5.69813052e-10,1
2.90000000e-2,8.30498461e-2,2.30478959e+1,5.31205505e-10,1
3.00000000e-2,8.49530228e-2,2.22800072e+1,4.96398720e-10,1
3.10000000e-2,8.68353184e-2,2.15617612e+1,4.64909547e-10,1
3.20000000e-2,8.86976347e-2,2.08884956e+1,4.36329248e-10,1
3.30000000e-2,9.05408081e-2,2.02561141e+1,4.10310158e-10,1
3.40000000e-2,9.23656162e-2,1.96610033e+1,3.86555049e-10,1
3.50000000e-2,9.41727831e-2,1.90999633e+1,3.64808599e-10,1
3.60000000e-2,9.59629850e-2,1.85701506e+1,3.44850494e-10,1
3.70000000e-2,9.77368544e-2,1.80690294e+1,3.26489824e-10,1
3.80000000e-2,9.94949838e-2,1.75943313e+1,3.09560495e-10,1
3.90000000e-2,1.01237930e-1,1.71440210e+1,2.93917455e-10,1
4.00000000e-2,1.02966215e-1,1.67162668e+1,2.79433575e-10,1
4.10000000e-2,1.04680334e-1,1.63094161e+1,2.65997055e-10,1
4.20000000e-2,1.06380749e-1,1.59219741e+1,2.53509259e-10,1
4.30000000e-2,1.08067901e-1,1.55525849e+1,2.41882896e-10,1
4.40000000e-2,1.09742205e-1,1.52000161e+1,2.31040491e-10,1
4.50000000e-2,1.11404054e-1,1.48631453e+1,2.20913087e-10,1
4.60000000e-2,1.13053821e-1,1.45409473e+1,2.11439149e-10,1
4.70000000e-2,1.14691861e-1,1.42324848e+1,2.02563623e-10,1
4.80000000e-2,1.16318509e-1,1.39368982e+1,1.94237132e-10,1
4.90000000e-2,1.17934088e-1,1.36533986e+1,1.86415292e-10,1
5.00000000e-2,1.19538901e-1,1.33812599e+1,1.79058116e-10,1
5.10000000e-2,1.21133240e-1,1.31198132e+1,1.72129499e-10,1
5.20000000e-2,1.22717383e-1,1.28684412e+1,1.65596779e-10,1
5.30000000e-2,1.24291594e-1,1.26265730e+1,1.59430347e-10,1
5.40000000e-2,1.25856128e-1,1.23936803e+1,1.53603311e-10,1
5.50000000e-2,1.27411227e-1,1.21692729e+1,1.48091204e-10,1
5.60000000e-2,1.28957124e-1,1.19528961e+1,1.42871724e-10,1
5.70000000e-2,1.30494042e-1,1.17441267e+1,1.37924512e-10,1
5.80000000e-2,1.32022194e-1,1.15425710e+1,1.33230945e-10,1
5.90000000e-2,1.33541786e-1,1.13478619e+1,1.28773971e-10,1
6.00000000e-2,1.35053015e-1,1.11596569e+1,1.24537942e-10,1
6.10000000e-2,1.36556071e-1,1.09776358e+1,1.20508488e-10,1
6.20000000e-2,1.38051135e-1,1.08014993e+1,1.16672386e-10,1
6.30000000e-2,1.39538383e-1,1.06309668e+1,1.13017455e-10,1
6.40000000e-2,1.41017985e-1,1.04657756e+1,1.09532459e-10,1
6.50000000e-2,1.42490103e-1,1.03056790e+1,1.06207019e-10,1
6.60000000e-2,1.43954895e-1,1.01504452e+1,1.03031537e-10,1
6.70000000e-2,1.45412511e-1,9.99985640e+0,9.99971279e-11,1
6.80000000e-2,1.46863099e-1,9.85370756e+0,9.70955527e-11,1
6.90000000e-2,1.48306799e-1,9.71180552e+0,9.43191665e-11,1
7.00000000e-2,1.49743748e-1,9.57396817e+0,9.16608666e-11,1
7.10000000e-2,1.51174079e-1,9.44002368e+0,8.91140470e-11,1
7.20000000e-2,1.52597918e-1,9.30980975e+0,8.66725576e-11,1
7.30000000e-2,1.54015390e-1,9.18317300e+0,8.43306663e-11,1
7.40000000e-2,1.55426615e-1,9.05996834e+0,8.20830262e-11,1
7.50000000e-2,1.56831708e-1,8.94005841e+0,7.99246444e-11,1
7.60000000e-2,1.58230781e-1,8.82331311e+0,7.78508542e-11,1
7.70000000e-2,1.59623944e-1,8.70960907e+0,7.58572902e-11,1
7.80000000e-2,1.61011302e-1,8.59882929e+0,7.39398651e-11,1
7.90000000e-2,1.62392959e-1,8.49086265e+0,7.20947486e-11,1
8.00000000e-2,1.63769012e-1,8.38560363e+0,7.03183483e-11,1
8.10000000e-2,1.65139560e-1,8.28295191e+0,6.86072923e-11,1
8.20000000e-2,1.66504696e-1,8.18281205e+0,6.69584131e-11,1
8.30000000e-2,1.67864511e-1,8.08509323e+0,6.53687326e-11,1
8.40000000e-2,1.69219094e-1,7.98970896e+0,6.38354493e-11,1
8.50000000e-2,1.70568531e-1,7.89657681e+0,6.23559253e-11,1
8.60000000e-2,1.71912907e-1,7.80561819e+0,6.09276753e-11,1
8.70000000e-2,1.73252302e-1,7.71675812e+0,5.95483559e-11,1
8.80000000e-2,1.74586797e-1,7.62992504e+0,5.82157561e-11,1
8.90000000e-2,1.75916469e-1,7.54505061e+0,5.69277886e-11,1
9.00000000e-2,1.77241393e-1,7.46206950e+0,5.56824813e-11,1
9.10000000e-2,1.78561642e-1,7.38091930e+0,5.44779697e-11,1
9.20000000e-2,1.79877289e-1,7.30154027e+0,5.33124904e-11,1
9.30000000e-2,1.81188403e-1,7.22387527e+0,5.21843739e-11,1
9.40000000e-2,1.82495052e-1,7.14786958e+0,5.10920395e-11,1
9.50000000e-2,1.83797303e-1,7.07347078e+0,5.00339889e-11,1
9.60000000e-2,1.85095221e-1,7.00062865e+0,4.90088014e-11,1
9.70000000e-2,1.86388868e-1,6.92929502e+0,4.80151295e-11,1
9.80000000e-2,1.87678306e-1,6.85942372e+0,4.70516937e-11,1
9.90000000e-2,1.88963597e-1,6.79097041e+0,4.61172791e-11,1
1.00000000e-1,1.90244798e-1,6.72389255e+0,4.52107310e-11,1
1.01000000e-1,1.91521967e-1,6.65814927e+0,4.43309517e-11,1
1.02000000e-1,1.92795160e-1,6.59370131e+0,4.34768970e-11,1
1.03000000e-1,1.94064433e-1,6.53051094e+0,4.26475731e-11,1
1.04000000e-1,1.95329839e-1,6.46854187e+0,4.18420339e-11,1
1.05000000e-1,1.96591431e-1,6.40775920e+0,4.10593780e-11,1
1.06000000e-1,1.97849259e-1,6.34812935e+0,4.02987462e-11,1
1.07000000e-1,1.99103375e-1,6.28961998e+0,3.95593195e-11,1
1.08000000e-1,2.00353828e-1,6.23219998e+0,3.88403165e-11,1
1.09000000e-1,2.01600665e-1,6.17583934e+0,3.81409916e-11,1
1.10000000e-1,2.02843934e-1,6.12050918e+0,3.74606326e-11,1
1.11000000e-1,2.04083680e-1,6.06618164e+0,3.67985597e-11,1
1.12000000e-1,2.05319950e-1,6.01282985e+0,3.61541229e-11,1
1.13000000e-1,2.06552788e-1,5.96042792e+0,3.55267010e-11,1
1.14000000e-1,2.07782236e-1,5.90895084e+0,3.49157000e-11,1
1.15000000e-1,2.09008337e-1,5.85837447e+0,3.43205515e-11,1
1.16000000e-1,2.10231133e-1,5.80867553e+0,3.37407114e-11,1
1.17000000e-1,2.11450665e-1,5.75983151e+0,3.31756590e-11,1
1.18000000e-1,2.12666973e-1,5.71182067e+0,3.26248954e-11,1
1.19000000e-1,2.13880096e-1,5.66462201e+0,3.20879425e-11,1
1.20000000e-1,2.15090073e-1,5.61821522e+0,3.15643423e-11,1
1.21000000e-1,2.16296940e-1,5.57258066e+0,3.10536552e-11,1
1.22000000e-1,2.17500737e-1,5.52769934e+0,3.05554600e-11,1
1.23000000e-1,2.18701497e-1,5.48355290e+0,3.00693524e-11,1
1.24000000e-1,2.19899259e-1,5.44012354e+0,2.95949441e-11,1
1.25000000e-1,2.21094055e-1,5.39739405e+0,2.91318625e-11,1
1.26000000e-1,2.22285922e-1,5.35534778e+0,2.86797498e-11,1
1.27000000e-1,2.23474892e-1,5.31396857e+0,2.82382620e-11,1
1.28000000e-1,2.24660999e-1,5.27324080e+0,2.78070685e-11,1
1.29000000e-1,2.25844275e-1,5.23314931e+0,2.73858517e-11,1
1.30000000e-1,2.27024752e-1,5.19367942e+0,2.69743059e-11,1
1.31000000e-1,2.28202462e-1,5.15481689e+0,2.65721372e-11,1
1.32000000e-1,2.29377436e-1,5.11654792e+0,2.61790626e-11,1
1.33000000e-1,2.30549703e-1,5.07885912e+0,2.57948099e-11,1
1.34000000e-1,2.31719295e-1,5.04173749e+0,2.54191169e-11,1
1.35000000e-1,2.32886239e-1,5.00517044e+0,2.50517311e-11,1
1.36000000e-1,2.34050565e-1,4.96914573e+0,2.46924093e-11,1
1.37000000e-1,2.35212302e-1,4.93365148e+0,2.43409169e-11,1
1.38000000e-1,2.36371476e-1,4.89867616e+0,2.39970281e-11,1
1.39000000e-1,2.37528116e-1,4.86420856e+0,2.36605249e-11,1
1.40000000e-1,2.38682249e-1,4.83023782e+0,2.33311974e-11,1
1.41000000e-1,2.39833900e-1,4.79675335e+0,2.30088427e-11,1
1.42000000e-1,2.40983097e-1,4.76374489e+0,2.26932653e-11,1
1.43000000e-1,2.42129864e-1,4.73120244e+0,2.23842765e-11,1
1.44000000e-1,2.43274228e-1,4.69911629e+0,2.20816939e-11,1
1.45000000e-1,2.44416212e-1,4.66747702e+0,2.17853417e-11,1
1.46000000e-1,2.45555842e-1,4.63627542e+0,2.14950498e-11,1
1.47000000e-1,2.46693141e-1,4.60550258e+0,2.12106540e-11,1
1.48000000e-1,2.47828134e-1,4.57514979e+0,2.09319956e-11,1
1.49000000e-1,2.48960843e-1,4.54520861e+0,2.06589213e-11,1
1.50000000e-1,2.50091292e-1,4.51567079e+0,2.03912827e-11,1
1.51000000e-1,2.51219503e-1,4.48652833e+0,2.01289364e-11,1
1.52000000e-1,2.52345499e-1,4.45777342e+0,1.98717438e-11,1
1.53000000e-1,2.53469301e-1,4.42939846e+0,1.96195707e-11,1
1.54000000e-1,2.54590932e-1,4.40139604e+0,1.93722871e-11,1
1.55000000e-1,2.55710413e-1,4.37375897e+0,1.91297675e-11,1
1.56000000e-1,2.56827764e-1,4.34648021e+0,1.88918902e-11,1
1.57000000e-1,2.57943006e-1,4.31955292e+0,1.86585374e-11,1
1.58000000e-1,2.59056161e-1,4.29297041e+0,1.84295950e-11,1
1.59000000e-1,2.60167248e-1,4.26672619e+0,1.82049524e-11,1
1.60000000e-1,2.61276286e-1,4.24081392e+0,1.79845027e-11,1
1.61000000e-1,2.62383296e-1,4.21522740e+0,1.77681420e-11,1
1.62000000e-1,2.63488297e-1,4.18996061e+0,1.75557699e-11,1
1.63000000e-1,2.64591307e-1,4.16500765e+0,1.73472888e-11,1
