# BH-FRW Full Evolution Sandbox v0.3
# log10(M/Msun)=22.5
# Om=0.3, Or=0.0001, H0=70
# log10(Ec2)=8, dTau=0.001, maxSteps=200000
# mode=QUANTUM, stopAtBounce=true
# OmegaL0=6.674188e-1, OmegaK=0.032481
# tau_today=0.954000 (where a=1)
# t_today_Gyr=13.326
# back_reason=bounce_boundary_reached, fwd_reason=a_stop_reached
# tau=0 at bounce; tau=tau_today at a=1 (today); tau increases into future
# ---
tau,a,E,E2_over_Ec2,mode
0.00000000e+0,2.47422957e-3,0.00000000e+0,1.00000000e+0,1
1.00000000e-3,8.79526922e-3,6.75253737e+2,4.58065853e-3,1
2.00000000e-3,1.38514920e-2,3.40053304e+2,1.15770277e-3,1
3.00000000e-3,1.81732931e-2,2.25771040e+2,5.09985711e-4,1
4.00000000e-3,2.20461776e-2,1.68761174e+2,2.84884497e-4,1
5.00000000e-3,2.56094824e-2,1.34688251e+2,1.81442170e-4,1
6.00000000e-3,2.89420959e-2,1.12049066e+2,1.25565698e-4,1
7.00000000e-3,3.20936791e-2,9.59215877e+1,9.20179771e-5,1
8.00000000e-3,3.50979103e-2,8.38518262e+1,7.03162320e-5,1
9.00000000e-3,3.79789051e-2,7.44803880e+1,5.54763597e-5,1
1.00000000e-2,4.07546589e-2,6.69937717e+1,4.48836691e-5,1
1.10000000e-2,4.34390409e-2,6.08754847e+1,3.70596197e-5,1
1.20000000e-2,4.60430209e-2,5.57818872e+1,3.11171577e-5,1
1.30000000e-2,4.85754620e-2,5.14754892e+1,2.64979621e-5,1
1.40000000e-2,5.10436538e-2,4.77869124e+1,2.28364115e-5,1
1.50000000e-2,5.34536823e-2,4.45921116e+1,1.98849596e-5,1
1.60000000e-2,5.58106945e-2,4.17981621e+1,1.74711688e-5,1
1.70000000e-2,5.81190927e-2,3.93340777e+1,1.54719361e-5,1
1.80000000e-2,6.03826789e-2,3.71446983e+1,1.37974765e-5,1
1.90000000e-2,6.26047654e-2,3.51865124e+1,1.23810598e-5,1
2.00000000e-2,6.47882599e-2,3.34247366e+1,1.11722550e-5,1
2.10000000e-2,6.69357327e-2,3.18312322e+1,1.01323761e-5,1
2.20000000e-2,6.90494701e-2,3.03829904e+1,9.23134628e-6,1
2.30000000e-2,7.11315167e-2,2.90610146e+1,8.44549701e-6,1
2.40000000e-2,7.31837108e-2,2.78494822e+1,7.75599674e-6,1
2.50000000e-2,7.52077127e-2,2.67351085e+1,7.14771136e-6,1
2.60000000e-2,7.72050283e-2,2.57066574e+1,6.60836599e-6,1
2.70000000e-2,7.91770288e-2,2.47545610e+1,6.12792043e-6,1
2.80000000e-2,8.11249675e-2,2.38706213e+1,5.69809808e-6,1
2.90000000e-2,8.30499934e-2,2.30477735e+1,5.31202686e-6,1
3.00000000e-2,8.49531636e-2,2.22798967e+1,4.96396259e-6,1
3.10000000e-2,8.68354531e-2,2.15616611e+1,4.64907389e-6,1
3.20000000e-2,8.86977639e-2,2.08884045e+1,4.36327348e-6,1
3.30000000e-2,9.05409321e-2,2.02560311e+1,4.10308478e-6,1
3.40000000e-2,9.23657354e-2,1.96609274e+1,3.86553559e-6,1
3.50000000e-2,9.41728978e-2,1.90998937e+1,3.64807271e-6,1
3.60000000e-2,9.59630955e-2,1.85700867e+1,3.44849308e-6,1
3.70000000e-2,9.77369609e-2,1.80689705e+1,3.26488761e-6,1
3.80000000e-2,9.94950866e-2,1.75942770e+1,3.09559540e-6,1
3.90000000e-2,1.01238029e-1,1.71439707e+1,2.93916594e-6,1
4.00000000e-2,1.02966311e-1,1.67162201e+1,2.79432797e-6,1
4.10000000e-2,1.04680426e-1,1.63093729e+1,2.65996350e-6,1
4.20000000e-2,1.06380839e-1,1.59219338e+1,2.53508619e-6,1
4.30000000e-2,1.08067988e-1,1.55525473e+1,2.41882314e-6,1
4.40000000e-2,1.09742289e-1,1.51999811e+1,2.31039960e-6,1
4.50000000e-2,1.11404136e-1,1.48631125e+1,2.20912602e-6,1
4.60000000e-2,1.13053901e-1,1.45409167e+1,2.11438705e-6,1
4.70000000e-2,1.14691938e-1,1.42324560e+1,2.02563215e-6,1
4.80000000e-2,1.16318585e-1,1.39368712e+1,1.94236757e-6,1
4.90000000e-2,1.17934161e-1,1.36533732e+1,1.86414947e-6,1
5.00000000e-2,1.19538972e-1,1.33812360e+1,1.79057798e-6,1
5.10000000e-2,1.21133310e-1,1.31197907e+1,1.72129205e-6,1
5.20000000e-2,1.22717450e-1,1.28684200e+1,1.65596507e-6,1
5.30000000e-2,1.24291660e-1,1.26265530e+1,1.59430095e-6,1
5.40000000e-2,1.25856192e-1,1.23936613e+1,1.53603077e-6,1
5.50000000e-2,1.27411290e-1,1.21692550e+1,1.48090986e-6,1
5.60000000e-2,1.28957185e-1,1.19528791e+1,1.42871522e-6,1
5.70000000e-2,1.30494102e-1,1.17441106e+1,1.37924323e-6,1
5.80000000e-2,1.32022253e-1,1.15425557e+1,1.33230770e-6,1
5.90000000e-2,1.33541843e-1,1.13478474e+1,1.28773806e-6,1
6.00000000e-2,1.35053071e-1,1.11596431e+1,1.24537789e-6,1
6.10000000e-2,1.36556125e-1,1.09776227e+1,1.20508345e-6,1
6.20000000e-2,1.38051188e-1,1.08014867e+1,1.16672252e-6,1
6.30000000e-2,1.39538436e-1,1.06309549e+1,1.13017329e-6,1
6.40000000e-2,1.41018037e-1,1.04657642e+1,1.09532340e-6,1
6.50000000e-2,1.42490154e-1,1.03056681e+1,1.06206907e-6,1
6.60000000e-2,1.43954944e-1,1.01504348e+1,1.03031433e-6,1
6.70000000e-2,1.45412560e-1,9.99984647e+0,9.99970293e-7,1
6.80000000e-2,1.46863146e-1,9.85369806e+0,9.70954598e-7,1
6.90000000e-2,1.48306846e-1,9.71179643e+0,9.43190788e-7,1
7.00000000e-2,1.49743794e-1,9.57395947e+0,9.16607839e-7,1
7.10000000e-2,1.51174124e-1,9.44001533e+0,8.91139689e-7,1
7.20000000e-2,1.52597962e-1,9.30980175e+0,8.66724837e-7,1
7.30000000e-2,1.54015434e-1,9.18316532e+0,8.43305964e-7,1
7.40000000e-2,1.55426657e-1,9.05996096e+0,8.20829600e-7,1
7.50000000e-2,1.56831749e-1,8.94005133e+0,7.99245816e-7,1
7.60000000e-2,1.58230822e-1,8.82330630e+0,7.78507947e-7,1
7.70000000e-2,1.59623984e-1,8.70960253e+0,7.58572338e-7,1
7.80000000e-2,1.61011342e-1,8.59882299e+0,7.39398115e-7,1
7.90000000e-2,1.62392997e-1,8.49085659e+0,7.20946977e-7,1
8.00000000e-2,1.63769050e-1,8.38559780e+0,7.03182999e-7,1
8.10000000e-2,1.65139598e-1,8.28294629e+0,6.86072463e-7,1
8.20000000e-2,1.66504733e-1,8.18280663e+0,6.69583692e-7,1
8.30000000e-2,1.67864547e-1,8.08508801e+0,6.53686908e-7,1
8.40000000e-2,1.69219130e-1,7.98970392e+0,6.38354095e-7,1
8.50000000e-2,1.70568566e-1,7.89657194e+0,6.23558873e-7,1
8.60000000e-2,1.71912941e-1,7.80561349e+0,6.09276391e-7,1
8.70000000e-2,1.73252336e-1,7.71675358e+0,5.95483213e-7,1
8.80000000e-2,1.74586831e-1,7.62992066e+0,5.82157231e-7,1
8.90000000e-2,1.75916502e-1,7.54504637e+0,5.69277571e-7,1
9.00000000e-2,1.77241425e-1,7.46206540e+0,5.56824511e-7,1
9.10000000e-2,1.78561674e-1,7.38091533e+0,5.44779408e-7,1
9.20000000e-2,1.79877321e-1,7.30153643e+0,5.33124627e-7,1
9.30000000e-2,1.81188434e-1,7.22387155e+0,5.21843475e-7,1
9.40000000e-2,1.82495083e-1,7.14786598e+0,5.10920141e-7,1
9.50000000e-2,1.83797334e-1,7.07346729e+0,5.00339646e-7,1
9.60000000e-2,1.85095251e-1,7.00062527e+0,4.90087781e-7,1
