# BH-FRW Full Evolution Sandbox v0.3
# log10(M/Msun)=22.5
# Om=0.3, Or=0.0001, H0=70
# log10(Ec2)=10, dTau=0.001, maxSteps=200000
# mode=QUANTUM, stopAtBounce=true
# OmegaL0=6.674188e-1, OmegaK=0.032481
# tau_today=0.954000 (where a=1)
# t_today_Gyr=13.326
# back_reason=bounce_boundary_reached, fwd_reason=a_stop_reached
# tau=0 at bounce; tau=tau_today at a=1 (today); tau increases into future
# ---
tau,a,E,E2_over_Ec2,mode
7.70000000e-2,1.59623944e-1,8.70960901e+0,7.58572897e-9,1
7.80000000e-2,1.61011303e-1,8.59882922e+0,7.39398646e-9,1
7.90000000e-2,1.62392959e-1,8.49086259e+0,7.20947481e-9,1
8.00000000e-2,1.63769013e-1,8.38560358e+0,7.03183478e-9,1
8.10000000e-2,1.65139560e-1,8.28295185e+0,6.86072919e-9,1
8.20000000e-2,1.66504696e-1,8.18281200e+0,6.69584126e-9,1
8.30000000e-2,1.67864511e-1,8.08509318e+0,6.53687322e-9,1
8.40000000e-2,1.69219094e-1,7.98970891e+0,6.38354489e-9,1
8.50000000e-2,1.70568532e-1,7.89657676e+0,6.23559249e-9,1
8.60000000e-2,1.71912907e-1,7.80561814e+0,6.09276749e-9,1
8.70000000e-2,1.73252303e-1,7.71675807e+0,5.95483555e-9,1
8.80000000e-2,1.74586797e-1,7.62992500e+0,5.82157558e-9,1
8.90000000e-2,1.75916469e-1,7.54505056e+0,5.69277883e-9,1
9.00000000e-2,1.77241393e-1,7.46206946e+0,5.56824810e-9,1
9.10000000e-2,1.78561643e-1,7.38091926e+0,5.44779694e-9,1
9.20000000e-2,1.79877289e-1,7.30154023e+0,5.33124901e-9,1
9.30000000e-2,1.81188404e-1,7.22387523e+0,5.21843737e-9,1
9.40000000e-2,1.82495053e-1,7.14786954e+0,5.10920392e-9,1
9.50000000e-2,1.83797304e-1,7.07347074e+0,5.00339886e-9,1
9.60000000e-2,1.85095221e-1,7.00062861e+0,4.90088012e-9,1
9.70000000e-2,1.86388868e-1,6.92929499e+0,4.80151293e-9,1
9.80000000e-2,1.87678307e-1,6.85942369e+0,4.70516935e-9,1
9.90000000e-2,1.88963597e-1,6.79097038e+0,4.61172789e-9,1
1.00000000e-1,1.90244798e-1,6.72389252e+0,4.52107308e-9,1
1.01000000e-1,1.91521967e-1,6.65814924e+0,4.43309515e-9,1
1.02000000e-1,1.92795161e-1,6.59370128e+0,4.34768968e-9,1
1.03000000e-1,1.94064433e-1,6.53051091e+0,4.26475730e-9,1
1.04000000e-1,1.95329839e-1,6.46854184e+0,4.18420337e-9,1
1.05000000e-1,1.96591431e-1,6.40775917e+0,4.10593778e-9,1
1.06000000e-1,1.97849260e-1,6.34812932e+0,4.02987460e-9,1
1.07000000e-1,1.99103375e-1,6.28961996e+0,3.95593194e-9,1
1.08000000e-1,2.00353828e-1,6.23219995e+0,3.88403164e-9,1
1.09000000e-1,2.01600665e-1,6.17583932e+0,3.81409914e-9,1
1.10000000e-1,2.02843934e-1,6.12050916e+0,3.74606325e-9,1
1.11000000e-1,2.04083681e-1,6.06618162e+0,3.67985595e-9,1
1.12000000e-1,2.05319950e-1,6.01282983e+0,3.61541227e-9,1
1.13000000e-1,2.06552788e-1,5.96042790e+0,3.55267009e-9,1
1.14000000e-1,2.07782236e-1,5.90895082e+0,3.49156999e-9,1
1.15000000e-1,2.09008337e-1,5.85837445e+0,3.43205514e-9,1
1.16000000e-1,2.10231134e-1,5.80867551e+0,3.37407113e-9,1
1.17000000e-1,2.11450666e-1,5.75983149e+0,3.31756589e-9,1
1.18000000e-1,2.12666973e-1,5.71182066e+0,3.26248953e-9,1
1.19000000e-1,2.13880096e-1,5.66462200e+0,3.20879424e-9,1
1.20000000e-1,2.15090073e-1,5.61821520e+0,3.15643422e-9,1
1.21000000e-1,2.16296941e-1,5.57258064e+0,3.10536551e-9,1
1.22000000e-1,2.17500737e-1,5.52769933e+0,3.05554600e-9,1
1.23000000e-1,2.18701498e-1,5.48355288e+0,3.00693523e-9,1
1.24000000e-1,2.19899259e-1,5.44012352e+0,2.95949440e-9,1
1.25000000e-1,2.21094056e-1,5.39739404e+0,2.91318625e-9,1
1.26000000e-1,2.22285922e-1,5.35534776e+0,2.86797497e-9,1
1.27000000e-1,2.23474892e-1,5.31396856e+0,2.82382619e-9,1
1.28000000e-1,2.24660999e-1,5.27324078e+0,2.78070684e-9,1
1.29000000e-1,2.25844275e-1,5.23314930e+0,2.73858516e-9,1
1.30000000e-1,2.27024752e-1,5.19367941e+0,2.69743059e-9,1
1.31000000e-1,2.28202462e-1,5.15481688e+0,2.65721371e-9,1
1.32000000e-1,2.29377436e-1,5.11654791e+0,2.61790626e-9,1
1.33000000e-1,2.30549704e-1,5.07885911e+0,2.57948099e-9,1
1.34000000e-1,2.31719295e-1,5.04173748e+0,2.54191169e-9,1
1.35000000e-1,2.32886239e-1,5.00517043e+0,2.50517311e-9,1
1.36000000e-1,2.34050565e-1,4.96914572e+0,2.46924092e-9,1
1.37000000e-1,2.35212302e-1,4.93365147e+0,2.43409168e-9,1
1.38000000e-1,2.36371476e-1,4.89867614e+0,2.39970280e-9,1
1.39000000e-1,2.37528116e-1,4.86420855e+0,2.36605249e-9,1
1.40000000e-1,2.38682249e-1,4.83023781e+0,2.33311973e-9,1
1.41000000e-1,2.39833901e-1,4.79675334e+0,2.30088427e-9,1
1.42000000e-1,2.40983097e-1,4.76374488e+0,2.26932653e-9,1
1.43000000e-1,2.42129865e-1,4.73120243e+0,2.23842765e-9,1
1.44000000e-1,2.43274228e-1,4.69911628e+0,2.20816939e-9,1
1.45000000e-1,2.44416212e-1,4.66747701e+0,2.17853417e-9,1
1.46000000e-1,2.45555842e-1,4.63627541e+0,2.14950498e-9,1
1.47000000e-1,2.46693141e-1,4.60550257e+0,2.12106540e-9,1
1.48000000e-1,2.47828134e-1,4.57514978e+0,2.09319956e-9,1
1.49000000e-1,2.48960843e-1,4.54520860e+0,2.06589212e-9,1
1.50000000e-1,2.50091292e-1,4.51567078e+0,2.03912827e-9,1
1.51000000e-1,2.51219503e-1,4.48652832e+0,2.01289364e-9,1
1.52000000e-1,2.52345499e-1,4.45777341e+0,1.98717438e-9,1
1.53000000e-1,2.53469302e-1,4.42939845e+0,1.96195706e-9,1
1.54000000e-1,2.54590932e-1,4.40139604e+0,1.93722871e-9,1
1.55000000e-1,2.55710413e-1,4.37375896e+0,1.91297675e-9,1
1.56000000e-1,2.56827764e-1,4.34648020e+0,1.88918902e-9,1
1.57000000e-1,2.57943007e-1,4.31955291e+0,1.86585374e-9,1
1.58000000e-1,2.59056161e-1,4.29297040e+0,1.84295949e-9,1
1.59000000e-1,2.60167248e-1,4.26672619e+0,1.82049524e-9,1
1.60000000e-1,2.61276286e-1,4.24081391e+0,1.79845027e-9,1
1.61000000e-1,2.62383296e-1,4.21522739e+0,1.77681420e-9,1
1.62000000e-1,2.63488297e-1,4.18996060e+0,1.75557699e-9,1
1.63000000e-1,2.64591308e-1,4.16500765e+0,1.73472887e-9,1
1.64000000e-1,2.65692347e-1,4.14036279e+0,1.71426041e-9,1
1.65000000e-1,2.66791433e-1,4.11602043e+0,1.69416242e-9,1
1.66000000e-1,2.67888585e-1,4.09197510e+0,1.67442603e-9,1
1.67000000e-1,2.68983820e-1,4.06822147e+0,1.65504259e-9,1
1.68000000e-1,2.70077157e-1,4.04475432e+0,1.63600375e-9,1
1.69000000e-1,2.71168612e-1,4.02156856e+0,1.61730137e-9,1
1.70000000e-1,2.72258204e-1,3.99865924e+0,1.59892757e-9,1
1.71000000e-1,2.73345948e-1,3.97602150e+0,1.58087470e-9,1
1.72000000e-1,2.74431863e-1,3.95365061e+0,1.56313532e-9,1
1.73000000e-1,2.75515964e-1,3.93154193e+0,1.54570220e-9,1
1.74000000e-1,2.76598268e-1,3.90969096e+0,1.52856834e-9,1
1.75000000e-1,2.77678792e-1,3.88809326e+0,1.51172692e-9,1
1.76000000e-1,2.78757550e-1,3.86674452e+0,1.49517132e-9,1
1.77000000e-1,2.79834560e-1,3.84564052e+0,1.47889510e-9,1
1.78000000e-1,2.80909837e-1,3.82477714e+0,1.46289202e-9,1
